RowId,CustomerId,CustomerName,CreditScore,Geography,Income_Category,Gender,DateOfBirth,Marital_Status,Balance,Card_Category,EstimatedSalary,Exited
98,15693683,Jeffrey Smith,814,Germany,$40K - $60K,Male,1/1/1972,Married,97086.4,Blue,197276.13,NO
99,15604348,Mark Ross,710,Spain,$120K +,Male,1/1/1951,Married,0,Blue,99645.04,NO
100,15633059,Christina Newman,413,France,$80K - $120K,Male,1/1/1957,Married,0,Blue,6534.18,NO
101,15808582,Megan Dixon,665,France,Unknown,Female,1/1/1954,Single,0,Blue,161848.03,NO
102,15743192,Brian Lopez,623,France,Unknown,Female,1/1/1965,Married,0,Silver,167162.43,NO
103,15580146,Frank Schmidt,738,France,$120K +,Male,1/1/1984,Married,82674.15,Blue,41970.72,NO
104,15776605,Micheal Wheeler,528,Spain,Less than $40K,Male,1/1/1981,Single,0,Blue,60536.56,NO
105,15804919,Matthew Evans,670,Spain,$60K - $80K,Female,1/1/1967,Unknown,0,Blue,177655.68,YES
106,15613854,Katherine Jimenez,622,Spain,Less than $40K,Female,1/1/1971,Married,107073.27,Blue,30984.59,YES
107,15599195,Michael Schmidt,582,Germany,$120K +,Male,1/1/1985,Single,88938.62,Blue,10054.53,NO
108,15812878,James Mack,785,Germany,$60K - $80K,Female,1/1/1974,Married,99806.85,Blue,36976.52,NO
109,15602312,Marcus Price,605,Spain,Less than $40K,Male,1/1/1950,Married,150092.8,Blue,71862.79,NO
110,15744689,Gregg Perez,479,Germany,$120K +,Male,1/1/1983,Divorced,92833.89,Blue,99449.86,YES
111,15803526,Corey Moyer,685,Germany,$60K - $80K,Male,1/1/1976,Married,90536.81,Blue,63082.88,NO
112,15665790,Eric Morrison,538,Germany,$60K - $80K,Male,1/1/1959,Married,108055.1,Blue,27231.26,NO
113,15715951,Paul Peterson,562,France,$60K - $80K,Male,1/1/1952,Divorced,100238.35,Blue,86797.41,NO
114,15591100,Hayley Hoffman,675,Spain,Less than $40K,Male,1/1/1987,Married,106190.55,Blue,22994.32,NO
115,15609618,Mary Gilmore,721,Germany,$80K - $120K,Male,1/1/1946,Single,154475.54,Blue,101300.94,YES
116,15675522,Jasmine Anderson,628,Germany,$80K - $120K,Female,1/1/1980,Single,132351.29,Blue,74169.13,NO
117,15705512,George Elliott,668,Germany,$80K - $120K,Female,1/1/1946,Unknown,167864.4,Blue,115638.29,NO
118,15698028,Shane Campbell,506,France,$80K - $120K,Female,1/1/1949,Single,0,Blue,31766.3,NO
119,15661670,Brian Wilkins,524,Germany,$60K - $80K,Female,1/1/1985,Married,107818.63,Blue,199725.39,YES
120,15600781,Kathryn Malone,699,Germany,Less than $40K,Male,1/1/1982,Married,185173.81,Blue,120834.48,NO
121,15682472,Jesse Smith,828,France,$120K +,Male,1/1/1979,Single,129433.34,Blue,38131.77,NO
122,15580203,Penny Wood,674,Spain,Less than $40K,Male,1/1/1949,Married,120193.42,Blue,100130.95,NO
123,15690673,Marisa Weaver,656,France,$80K - $120K,Female,1/1/1954,Married,0,Blue,141069.88,NO
124,15760085,Sophia Giles,684,Germany,$40K - $60K,Female,1/1/1951,Single,126384.42,Blue,198129.36,NO
125,15779659,Richard Brown,625,France,$120K +,Female,1/1/1969,Single,0,Silver,183646.41,NO
126,15627360,Adam Odonnell,432,France,$60K - $80K,Male,1/1/1976,Single,152603.45,Blue,110265.24,YES
127,15671137,Mary Higgins,549,France,$120K +,Female,1/1/1986,Single,0,Blue,8636.05,YES
128,15782688,Linda May,625,Germany,$80K - $120K,Male,1/1/1989,Married,148507.24,Blue,46824.08,YES
129,15575492,Matthew Walker,828,France,$40K - $60K,Female,1/1/1965,Single,0,Blue,171378.77,NO
130,15591607,Dana Weber,770,France,Less than $40K,Male,1/1/1989,Unknown,101827.07,Silver,167256.35,NO
131,15740404,Darrell Johnson,758,France,Less than $40K,Female,1/1/1963,Married,0,Blue,124226.16,NO
132,15718369,Barbara Ford,795,Germany,$40K - $60K,Female,1/1/1970,Married,130862.43,Blue,114935.21,NO
133,15677871,Maria Castillo,687,France,$80K - $120K,Male,1/1/1952,Married,122570.87,Blue,35608.88,NO
134,15642004,Edward Hood,686,France,$80K - $120K,Male,1/1/1946,Married,0,Blue,16459.37,NO
135,15712543,Jeffrey Smith,789,Germany,Less than $40K,Male,1/1/1951,Single,124828.46,Blue,124411.08,NO
136,15584518,Hayley Hoffman,589,Germany,$40K - $60K,Female,1/1/1970,Single,144895.05,Blue,34941.23,NO
137,15802381,Thomas Crosby,461,Germany,$60K - $80K,Female,1/1/1976,Divorced,63663.93,Blue,167784.28,NO
138,15610156,Brandon Reeves,637,France,$60K - $80K,Male,1/1/1973,Divorced,133463.1,Blue,93165.34,NO
139,15594408,Maria Castillo,584,Spain,Unknown,Female,1/1/1943,Married,213146.2,Blue,75161.25,YES
140,15640905,Carol Jones,579,Spain,Less than $40K,Female,1/1/1980,Single,129490.36,Blue,8590.83,YES
141,15698932,Robert Thompson,756,Germany,Less than $40K,Male,1/1/1985,Married,137452.09,Blue,189543.9,NO
142,15724944,Andrew Fitzpatrick,663,France,$120K +,Male,1/1/1957,Single,0,Blue,180427.24,NO
143,15628145,Ashley Pittman,682,France,$80K - $120K,Female,1/1/1959,Married,125851.93,Blue,193318.33,NO
144,15713483,Richard Le,793,Spain,Less than $40K,Male,1/1/1975,Single,0,Blue,159123.82,YES
145,15612350,Selena Barker,691,France,$60K - $80K,Female,1/1/1976,Single,40915.55,Blue,126213.84,YES
146,15800703,Harold Hernandez,485,Spain,Less than $40K,Female,1/1/1996,Married,113157.22,Blue,54141.5,NO
147,15705707,Margaret Chang,635,Spain,Less than $40K,Female,1/1/1968,Single,138296.94,Blue,141075.51,NO
148,15754105,Mark Torres,650,France,$120K +,Male,1/1/1951,Married,106967.18,Blue,24495.03,NO
149,15703264,Edward Hood,735,France,Unknown,Male,1/1/1954,Married,120681.63,Blue,74836.34,NO
150,15794413,Michael Mendoza,416,France,$80K - $120K,Male,1/1/1957,Married,0,Blue,878.87,NO
151,15650237,Michael Keller,754,Spain,$80K - $120K,Female,1/1/1964,Single,0,Blue,89520.75,NO
152,15759618,Lauren Hart,535,France,Unknown,Female,1/1/1977,Married,0,Blue,149892.79,YES
153,15811589,Peter Lawrence,716,Spain,$40K - $60K,Male,1/1/1977,Single,0,Silver,180800.42,NO
154,15689044,Kelli Hamilton DDS,539,France,$60K - $80K,Male,1/1/1978,Single,127609.59,Blue,98646.22,NO
155,15709368,Erin Elliott,614,France,Less than $40K,Female,1/1/1955,Married,0,Blue,109041.53,NO
156,15679145,Melissa Long,706,Spain,$40K - $60K,Male,1/1/1966,Married,0,Blue,17941.16,YES
157,15655007,Stacey Munoz,758,France,$40K - $60K,Female,1/1/1988,Single,0,Blue,82996.47,NO
158,15623595,Jessica Peterson,586,Spain,$120K +,Female,1/1/1982,Married,0,Blue,92067.35,NO
159,15589975,Craig Branch,646,France,Unknown,Female,1/1/1968,Married,97259.25,Silver,104719.66,NO
160,15804017,Richard Young,631,Germany,Less than $40K,Female,1/1/1982,Divorced,123246.7,Blue,112687.57,NO
161,15692132,Ryan Nelson,717,Spain,$80K - $120K,Female,1/1/1975,Married,101060.25,Blue,84699.56,NO
162,15641122,Tracy Willis,684,France,Unknown,Male,1/1/1952,Single,0,Blue,83473.82,NO
163,15630910,Michelle Rice,800,France,$60K - $80K,Female,1/1/1951,Married,108007.36,Blue,47125.11,NO
164,15680772,Edward Boyd,721,Spain,Less than $40K,Female,1/1/1948,Divorced,0,Blue,106977.8,NO
165,15658929,Christopher Merritt,683,Spain,$40K - $60K,Male,1/1/1971,Married,133702.89,Blue,55582.54,YES
166,15585388,Gerald Petty,660,Germany,Less than $40K,Male,1/1/1967,Married,125189.75,Blue,139874.43,NO
167,15724623,Lisa Moore,704,Germany,Less than $40K,Female,1/1/1979,Married,113034.22,Blue,162503.48,YES
168,15588537,Roy Moore,615,Spain,Less than $40K,Female,1/1/1958,Married,109013.23,Blue,196499.96,NO
169,15574692,Stephen Brown,667,Spain,$80K - $120K,Female,1/1/1970,Single,0,Blue,40721.24,YES
170,15611325,Elizabeth Carrillo,682,Germany,$60K - $80K,Male,1/1/1954,Married,57929.81,Blue,53134.3,NO
171,15587562,Sean Deleon,484,France,Unknown,Female,1/1/1973,Divorced,130114.39,Blue,164017.89,NO
172,15613172,Mark Proctor,628,Germany,Less than $40K,Male,1/1/1959,Married,95826.49,Blue,155996.96,NO
173,15651022,Corey Walker,480,Germany,$80K - $120K,,1/1/1975,Married,129608.57,Blue,5472.7,YES
174,15586310,Nicole Ingram,578,France,$80K - $120K,Male,1/1/1952,Married,169462.09,Silver,112187.11,NO
175,15625524,Andrew Myers,512,France,$40K - $60K,Male,1/1/1977,Married,0,Blue,146457.83,NO
176,15755209,Cameron Leonard,484,Spain,$40K - $60K,Female,1/1/1972,Divorced,133868.21,Blue,27286.1,NO
177,15645248,Crystal Dean,510,France,$80K - $120K,Female,1/1/1976,Married,0,Blue,130553.47,NO
178,15790355,Erika Fuller,606,Germany,Less than $40K,Male,1/1/1976,Married,190479.48,Blue,179351.89,NO
179,15762615,Tina Miller,597,Spain,$40K - $60K,Female,1/1/1965,Single,101993.12,Silver,94774.12,NO
180,15625426,Kelly Pearson,754,Germany,$40K - $60K,,1/1/1985,Married,161608.81,Blue,8080.85,YES
181,15716334,Mathew Nixon,850,Spain,$40K - $60K,Female,1/1/1969,Married,122311.21,Blue,19482.5,NO
182,15789669,Cindy Shaffer,510,France,$80K - $120K,Male,1/1/1973,Married,0,Blue,48071.61,NO
183,15621075,Gail Daniels,778,Germany,Less than $40K,,1/1/1963,Married,162150.42,Blue,174531.27,NO
184,15810845,Haley Becker,636,France,$60K - $80K,Male,1/1/1987,Married,0,Blue,55470.78,NO
185,15719377,Casey Howard,804,France,$60K - $80K,Female,1/1/1960,Married,0,Blue,8546.87,YES
186,15654506,Jessica Ward,514,France,Unknown,Male,1/1/1970,Single,0,Blue,95857.18,NO
187,15771977,John Smith,730,France,$80K - $120K,Female,1/1/1957,Single,99010.67,Blue,194945.8,NO
188,15708710,Jane Doe,525,Spain,Less than $40K,Female,1/1/1973,Single,0,Blue,131521.72,NO
189,15726676,David Lee,616,Spain,Less than $40K,Male,1/1/1967,Married,0,Blue,196108.51,NO
190,15587421,Sarah Johnson,687,Germany,Unknown,Female,1/1/1957,Married,111388.18,Blue,148564.76,NO
191,15726931,Kim Nguyen,715,,$80K - $120K,Female,1/1/1957,Married,56214.85,Blue,92982.61,YES
192,15771086,Michael Brown,512,France,$80K - $120K,Female,1/1/1973,Unknown,84327.77,Blue,17675.36,NO
193,15756850,Emily Davis,479,France,Less than $40K,Male,1/1/1972,Married,0,Blue,114996.43,NO
194,,Lucas Santos,601,France,$120K +,Male,1/1/1970,Married,93012.89,Blue,86957.42,NO
195,15679200,Laura Janssen,580,Spain,Less than $40K,Male,1/1/1983,Married,61710.44,Blue,128077.8,NO
196,15594815,Mohammed Ali,807,France,Less than $40K,Male,1/1/1960,Married,174790.15,Blue,600.36,NO
197,15635905,Ana Hernandez,616,Spain,$120K +,Female,1/1/1972,Unknown,0,Blue,43001.46,NO
198,15777892,Carlos Garcia,721,Germany,$80K - $120K,,1/1/1951,Married,107720.64,Blue,158591.12,NO
199,15656176,Lily Wong,501,France,Less than $40K,,1/1/1973,Married,0,Blue,47847.19,NO
200,15811127,Hans Mueller,521,France,$60K - $80K,Male,1/1/1987,Married,96423.84,Blue,10488.44,NO
